인허가일자,상태코드,폐업일자,사업장명,구명,동명
20010713,1,0,파리바게뜨(역촌역점),은평구,대조동
20030507,1,0,파리바게뜨,은평구,갈현동
20021011,1,0,신라명과(역촌현대점),은평구,녹번동
20011015,1,0,브르망,은평구,불광동
20050406,1,0,케잌하우스밀레,중랑구,중화동
20050412,1,0,뚜레쥬르,중랑구,신내동
20060417,1,0,파리바게뜨(우림시장점),중랑구,망우동
20060822,1,0,뚜레쥬르사가정역점,중랑구,면목동
20060822,1,0,몽블랑제(신내점),중랑구,신내동
20061122,1,0,파리바게뜨,중랑구,망우동
20070115,1,0,파리바게뜨 용마산역점,중랑구,면목동
20070124,1,0,파리바게뜨 중화역점,중랑구,중화동
20070305,1,0,델리카리,중랑구,면목동
20070305,1,0,파리바게뜨 사가정점,중랑구,면목동
20070416,1,0,뚜레쥬르용마산역점,중랑구,면목동
20070528,1,0,빵나라,중랑구,면목동
20070720,1,0,케익하우스 쥬떼므,중랑구,면목동
20080418,1,0,던킨도너츠 먹골점,중랑구,묵동
20080516,1,0,파리바게뜨 면목역점,중랑구,면목동
19950630,1,0,빵이가득한집,성북구,장위동
20080707,1,0,빵이가득한집,중랑구,면목동
20080807,1,0,파리바게뜨면목중앙점,중랑구,면목동
20081202,1,0,몽블랑제 면목점,중랑구,면목동
20090223,1,0,우림베이커리,중랑구,망우동
20090326,1,0,따끈따끈방이야기,중랑구,면목동
19961011,1,0,파리바게뜨종암점,성북구,종암동
19970918,1,0,파리바게트,성북구,석관동
19940114,1,0,상제리아베이커리,성북구,장위동
20130412,1,0,투썸플레이스엔타워점,용산구,용산동2가
20181019,1,0,외계인방앗간 문정점,송파구,문정동
20181113,1,0,앨리스 베이커리 카페,양천구,목동
20190107,1,0,스위트 팔레트 케이크(sweet palette cake),은평구,대조동
20181129,1,0,그리리,강동구,천호동
20181102,1,0,도담도담식빵 고덕점,강동구,고덕동
20181102,1,0,태극당 District C점,중구,을지로1가
20181129,1,0,유한회사 마미갸또금천,금천구,독산동
20181227,1,0,리블리롱제과,송파구,잠실동
20181227,1,0,빚은 오금역점,송파구,가락동
20160223,1,0,정수제빵소,중랑구,묵동
20181105,1,0,어썸 도넛 서울,마포구,합정동
20181108,1,0,포레포레,강동구,고덕동
20190107,1,0,판이판 베이커리,서초구,우면동
20181122,1,0,나폴레옹과자점,광진구,자양동
20190122,1,0,홍미당,강남구,대치동
20190122,1,0,브레드82(Bread82),은평구,역촌동
20190129,1,0,밀포레이트,송파구,송파동
20190117,1,0,브레댄코 신도림역점,구로구,신도림동
20190122,1,0,연재스토리즈,관악구,남현동
20190122,1,0,서라당,관악구,신림동
20190111,1,0,미미가미미(米米加味美),마포구,성산동
20190121,1,0,파리바게뜨(당산포스빌),영등포구,당산동5가
20190121,1,0,몽쥬 빠티세리(Monge patisserie),성동구,하왕십리동
20190123,1,0,뚜레쥬르 카페강남대로점,강남구,논현동
20190220,1,0,모찌모찌브레드,강남구,역삼동
20190211,1,0,파리크라상 서울대병원점,종로구,연건동
20190125,1,0,수고한 나에게,은평구,신사동
20190214,1,0,르솔레이,서대문구,연희동
20190211,1,0,파이앤브라우니,마포구,창전동
20190308,1,0,(주)신세계푸드 트레이더스월계점,노원구,월계동
20190308,1,0,롤링핀 신대방삼거리역점,동작구,대방동
20190219,1,0,프롬프랑(fromfranc),마포구,상암동
20171010,1,0,"그럼,",송파구,잠실동
20190219,1,0,좋은 아침 pastry,송파구,신천동
20190130,1,0,서울연인,마포구,동교동
20190321,1,0,(주)파리크라상 파리바게뜨 은평성모병원점,은평구,진관동
20190319,1,0,온베이커리,광진구,중곡동
20190315,1,0,153도씨,강서구,마곡동
20190319,1,0,브리오슈도레 종로타워점,종로구,종로2가
20190319,1,0,브리오슈도레 그랑서울점,종로구,청진동
20190308,1,0,제이몬티,서초구,잠원동
20190130,1,0,뚜레쥬르 카페신촌점,서대문구,창천동
20180314,1,0,다음에또봐,용산구,한강로2가
20190314,1,0,기프트(Gift),동작구,흑석동
20190130,1,0,서울연인단팥빵,용산구,동자동
20190130,1,0,슈가파티,강서구,마곡동
20190130,1,0,던킨 서울대병원점,종로구,연건동
20190128,1,0,해피데이,구로구,개봉동
20190128,1,0,밀브레드(Mill Bread),광진구,구의동
20190225,1,0,김태우 과자점,송파구,송파동
20190201,1,0,뚜레쥬르 상계점,노원구,중계동
20190228,1,0,글림,도봉구,창동
20190201,1,0,바른 고로케,은평구,진관동
20190228,1,0,마호가니 커피 연세대학교 공학관점,서대문구,신촌동
20190201,1,0,파파스브로트,강남구,역삼동
20190326,1,0,스몰오븐,강서구,내발산동
20190321,1,0,오흐뒤구떼(heure du gouter),마포구,서교동
20190322,1,0,(주)이지에프앤비,강남구,청담동
20190107,1,0,블랑제리가마,동작구,상도동
20190326,1,0,크리스피크림영등포점,영등포구,영등포동
20190321,1,0,Seasonable bakery(시즈너블 베이커리),송파구,오금동
20190114,1,0,칸텐,노원구,공릉동
20190320,1,0,하오나공방,영등포구,양평동4가
20190107,1,0,파리바게뜨 신대방역점,관악구,신림동
20190322,1,0,쿠아레비 구산,은평구,구산동
20190322,1,0,뚜레쥬르 북아현진로마트점,서대문구,북아현동
20190107,1,0,(주)떡메가,중구,봉래동2가
20190214,1,0,유한회사 카페노티드,강남구,압구정동
20190221,1,0,우뺑,금천구,가산동
20190108,1,0,카페 드 몽슈슈,강남구,역삼동
20190213,1,0,도담도담식빵 상도점,동작구,상도동
20180608,1,0,제로베이커리,송파구,방이동
20190214,1,0,드엠(DeM),종로구,원남동
20190325,1,0,"그래, 좋아",마포구,망원동
20190325,1,0,크리에잇쿠키,중구,태평로1가
20190222,1,0,영스데이(O`DAY),성동구,성수동2가
19780714,1,0,그랜드하얏트서울델리,용산구,한남동
20140324,1,0,라쁘띠메종,용산구,한강로2가
20140610,1,0,(주)케르반레스토랑 베이커리,용산구,이태원동
20140721,1,0,케르반베이커리,용산구,한남동
20020530,1,0,빵나라베이커리,용산구,이태원동
20161121,1,0,르시앙블랑,용산구,용산동2가
20170102,1,0,비엔디 베이커리,용산구,이촌동
20170123,1,0,이스탄불딜라이트 2호점,용산구,한남동
20170228,1,0,브레드웨이,용산구,갈월동
19941214,1,0,파리바게뜨 안암역점,성북구,안암동5가
20100308,1,0,굿베이커리(불광점),은평구,불광동
19950504,1,0,정승만베이커리,성북구,하월곡동
20160926,1,0,그리다디저트컴퍼니,용산구,이태원동
20171116,1,0,식빵공방,용산구,청파동2가
20100408,1,0,수가 만든 빵,은평구,구산동
20140102,1,0,델리베이커리,용산구,갈월동
20010629,1,0,빵굽는사랑방,은평구,증산동
20070410,1,0,뚜레쥬르 불광아울렛점(2),은평구,대조동
20100622,1,0,바로굼빵터,은평구,구산동
20070423,1,0,파리바게뜨(역말사거리점),은평구,역촌동
20070828,1,0,파리바게뜨 대림시장점,은평구,응암동
19950328,1,0,빵마을,용산구,용문동
20010416,1,0,준베이커리,은평구,수색동
20000308,1,0,파리바게뜨불광점,은평구,불광동
20100322,1,0,파리바게트남영역점,용산구,갈월동
20070611,1,0,파리바게뜨 은평행복점,은평구,응암동
20000916,1,0,파리바게뜨,용산구,산천동
20010228,1,0,파리바게뜨,용산구,효창동
20060524,1,0,바로굼빵터,은평구,대조동
20121121,1,0,파리바게트,용산구,한강로2가
20121122,1,0,아티장베이커스,용산구,한남동
20170323,1,0,더베이크드바이셰프리(THE BAKED BY CHEF LEE),용산구,동빙고동
20041222,1,0,파리바게트(불광현대),은평구,불광동
20051021,1,0,뚜레쥬르,은평구,증산동
20011126,1,0,블랑제리 은평점,은평구,응암동
20150304,1,0,(주)신세계푸드밀크앤허니용산점,용산구,한강로3가
19821215,1,0,주재근베이커리,용산구,보광동
19860821,1,0,파리크라상,용산구,이촌동
19861027,1,0,케익하우스미호,용산구,용문동
20101103,1,0,칸베이커리,은평구,대조동
20101117,1,0,뚜레쥬르 불광 현대점,은평구,불광동
20090518,1,0,파리바게뜨도원삼성점,용산구,도원동
20090519,1,0,파리바게뜨도원삼성점,용산구,도원동
20120221,1,0,베이커리오월의종,용산구,한남동
20040901,1,0,파리바게뜨(용산후암점),용산구,후암동
20041006,1,0,밀크앤허니 용산점(Milk&Honey),용산구,한강로3가
19801024,1,0,초이1982,용산구,이촌동
19960314,1,0,빵굽는쉐프의꿈,용산구,용산동2가
20170427,1,0,블록베이커리 길음점,성북구,길음동
20170612,1,0,빵빵한연구소,성북구,삼선동2가
20170725,1,0,봄눈슬듯,성북구,길음동
20160601,1,0,키다리 아저씨,은평구,대조동
20000508,1,0,고대빵,성북구,안암동5가
20091211,1,0,파리바게뜨 신촌2호점,서대문구,창천동
20180208,1,0,산토리니의하루,은평구,진관동
20180314,1,0,"꽃,가루",은평구,역촌동
20180326,1,0,NoBS(놉스),은평구,진관동
20100203,1,0,파리바게뜨연희안산점,서대문구,연희동
20151007,1,0,파리바게트 홍제역점,서대문구,홍제동
20170921,1,0,꽃피운달,은평구,진관동
20171025,1,0,팡야 빵야,은평구,녹번동
20171122,1,0,베이커리 프랑세즈,은평구,불광동
20180108,1,0,화선베이커리,은평구,대조동
20180117,1,0,폼드팡 불광점,은평구,대조동
20180131,1,0,정민베이커리,은평구,대조동
20140313,1,0,코코브레드,은평구,녹번동
20140416,1,0,파리바게뜨 서부병원점,은평구,응암동
20140425,1,0,JY슈가룸,은평구,대조동
20030630,1,0,파리바깨드월곡두산,성북구,하월곡동
20030825,1,0,장베이커리,성북구,하월곡동
20031117,1,0,아리랑 빵집,성북구,동선동4가
20021130,1,0,빵굼터착한빵집,성북구,동소문동5가
19991220,1,0,파리바게트(정릉청수점),성북구,정릉동
20000303,1,0,파리바게트(길음역점),성북구,길음동
20071009,1,0,파리바게뜨 길음래미안점,성북구,길음동
20071030,1,0,나폴레옹,성북구,성북동1가
20080121,1,0,파리바게트 한성대역점,성북구,동소문동1가
20130222,1,0,복고다방,성북구,종암동
20130717,1,0,샤뽀블랑,성북구,성북동
20141204,1,0,슬로우브레드파파,성북구,동선동2가
20150105,1,0,파리바게뜨 장위참누리점,성북구,장위동
20150202,1,0,파리바게뜨 정릉서경점,성북구,정릉동
20140804,1,0,다온브레드,은평구,진관동
20160510,1,0,오해피 투게더,은평구,구산동
20080905,1,0,뚜레쥬르(종암노블레스),성북구,종암동
20100528,1,0,파리바게트,성북구,하월곡동
20100531,1,0,몽블랑제(주)월곡점,성북구,하월곡동
20160421,1,0,크리스피파이 은평뉴타운점,은평구,진관동
20160422,1,0,디저트플러스,은평구,신사동
20100809,1,0,뚜레쥬르(길음뉴타운점),성북구,길음동
20130103,1,0,메종 드 루즈,성북구,동선동2가
20130124,1,0,마일라,성북구,하월곡동
20130207,1,0,주스쿠키,성북구,삼선동1가
20160425,1,0,Happy 310,은평구,대조동
20160630,1,0,이지바이,은평구,신사동
20160704,1,0,브레덴코 응암점,은평구,역촌동
20160708,1,0,애니버서리,은평구,응암동
20160718,1,0,LA FLANERIE(라플라느리),은평구,갈현동
19830914,1,0,송베이커리,은평구,구산동
19861018,1,0,하얀풍차,은평구,갈현동
20130527,1,0,비올렛베이커리,은평구,응암동
20130710,1,0,꽈배기나라,은평구,녹번동
20130823,1,0,베이커스 에비뉴,은평구,응암동
20131106,1,0,파리바게트(은평진관점),은평구,진관동
20160930,1,0,브레드앤밀 은평,은평구,불광동
20091210,1,0,파리바게뜨(석계두산점),성북구,석관동
20110228,1,0,파리바게뜨까페하월곡동일점,성북구,하월곡동
19820330,1,0,모닝베이커리,성북구,정릉동
20180403,1,0,이루카 베이커리,성북구,정릉동
20180717,1,0,더르빵,성북구,하월곡동
20010627,1,0,파리바게트가좌중앙점,서대문구,북가좌동
20010705,1,0,뚜레쥬르 독립문,서대문구,영천동
20100325,1,0,파리바게트홍은벽산,서대문구,홍은동
19700418,1,0,파리바게뜨 정릉점,성북구,정릉동
20110309,1,0,파리바게뜨(정릉국민대점),성북구,정릉동
20110321,1,0,그랑프리,성북구,정릉동
20110615,1,0,파리바게뜨 장위동방점,성북구,장위동
20110914,1,0,비알코리아(주) 던킨도너츠 성신여대역사점,성북구,동선동4가
20110923,1,0,뚜레쥬르(아리랑삼거리점),성북구,정릉동
20111021,1,0,몽 블랑제(Mon Boulanger),성북구,길음동
19830112,1,0,진미당,성북구,상월곡동
20101125,1,0,뚜레주르보문역점,성북구,보문동2가
20101208,1,0,뚜레쥬르동선브라운스톤점,성북구,동소문동7가
20120403,1,0,부자당,성북구,석관동
20020502,1,0,파리바게뜨 동덕여대점,성북구,하월곡동
20151202,1,0,던킨도너츠 연신내역사점,은평구,갈현동
20160112,1,0,로드리스 베이커리,은평구,녹번동
20160211,1,0,블랑제리,은평구,응암동
20061103,1,0,고대빵,성북구,안암동5가
20061206,1,0,파리바게뜨(종암사거리점),성북구,종암동
20120220,1,0,(주)신세계푸드 이베이커리 미아점,성북구,길음동
20120309,1,0,빵이 가득한 집,성북구,석관동
20161212,1,0,파리바게트 정릉국민대점 2호,성북구,정릉동
20161228,1,0,팔공티 성신여대점,성북구,동선동1가
20170113,1,0,쥬르드쥬아,성북구,정릉동
20120529,1,0,(주)신세계푸드 이베이커리 하월곡점,성북구,하월곡동
20150526,1,0,빵굽는아저씨,성북구,동소문동2가
20150625,1,0,파리바게뜨 아리랑고개점,성북구,돈암동
20150806,1,0,홈플러스베이커리(주)보문점,성북구,보문동7가
20161117,1,0,안스베이커리,은평구,진관동
20161118,1,0,도레도레 롯데몰 은평점,은평구,진관동
20161213,1,0,카페 1981 은평지점,은평구,진관동
20161006,1,0,띠에르노 과자점,은평구,수색동
20131209,1,0,비나케이크,성북구,보문동1가
20100512,1,0,파리바게뜨,서대문구,냉천동
20161031,1,0,베이커리 카페 몽소,은평구,신사동
20151002,1,0,파리바게뜨 연세대학교점,서대문구,신촌동
20140707,1,0,포노포노,성북구,길음동
20140718,1,0,뚜레쥬르상월곡역,성북구,석관동
20090105,1,0,씨유 장위동방점,성북구,장위동
19990903,1,0,뚜레쥬르.시카고,서대문구,남가좌동
20090414,1,0,파리바게트(동소문한신점),성북구,돈암동
20141008,1,0,꽈배기나라 2호점,은평구,응암동
20170731,1,0,파리바게뜨 독바위역점,은평구,불광동
20170803,1,0,프라빈커피&데일리브레드 독바위역점,은평구,불광동
20170816,1,0,브레드 제플린,은평구,진관동
20160721,1,0,쿠아레 비,은평구,역촌동
20160801,1,0,던킨도너츠 구파발역점,은평구,진관동
20070424,1,0,라본느타르트(맛있는파이),서대문구,대신동
20130410,1,0,위싱 케이크,은평구,불광동
20171205,1,0,우리동네 식빵,서대문구,북가좌동
20010825,1,0,베즐리 미아점,성북구,길음동
20090818,1,0,파리바게뜨연희점,서대문구,연희동
19991123,1,0,빠네뜨리과자점,서대문구,북아현동
20000417,1,0,파리바게뜨,서대문구,홍제동
20170208,1,0,판테레체,성북구,동소문동7가
20010213,1,0,뚜레쥬르카페 안암역점,성북구,안암동5가
20151106,1,0,앤티앤스,서대문구,대현동
20000513,1,0,파파브레드,서대문구,북아현동
19810204,1,0,뚜레쥬르(종암점),성북구,종암동
20110117,1,0,파리바게뜨후암신흥점,용산구,후암동
20180614,1,0,빠띠델리,용산구,한강로2가
20180712,1,0,비어드파파,용산구,동자동
20180716,1,0,코레일유통(주)앤티앤스프레즐서울역점,용산구,동자동
20180724,1,0,쁘앙집,용산구,서계동
20031126,1,0,(주)파리크라상 샌드위치 서울역점,용산구,동자동
20031126,1,0,(주)파리크라상 서울역점,용산구,동자동
20040225,1,0,파리바게뜨 원효로1가점,용산구,원효로1가
19830509,1,0,독일베이커리,성북구,길음동
20071008,1,0,패션5(Passion5)한남점,용산구,한남동
20091013,1,0,파리바게트 엘에스점,용산구,한강로2가
20100707,1,0,뚜레쥬르용산리첸시아점,용산구,원효로1가
20020814,1,0,파리바게뜨(월곡동아지점),성북구,상월곡동
20020829,1,0,황준호베이커리,성북구,안암동5가
20060508,1,0,파리바게뜨(불광역점),은평구,녹번동
20171215,1,0,청춘식빵,서대문구,영천동
19990811,1,0,파리바게뜨 아현점,서대문구,북아현동
20160204,1,0,밀크앤허니,성북구,하월곡동
20171214,1,0,지유가오카브레드,용산구,한강로3가
20171215,1,0,쌀람베이커리,용산구,한남동
20101213,1,0,굿베이커리,은평구,갈현동
20060516,1,0,바로굼빵터,은평구,불광동
20100910,1,0,코코호도 은평뉴타운점,은평구,진관동
20100930,1,0,델리명과,은평구,응암동
20101019,1,0,파리바게뜨은평뉴타운 5단지점,은평구,진관동
20100106,1,0,파리바게뜨 은평뉴타운2지구점,은평구,진관동
19961223,1,0,파리바게뜨은평신사점,은평구,신사동
19800516,1,0,또래명과,성북구,장위동
20150401,1,0,브래드05,용산구,이촌동
20170904,1,0,코레일유통(주)뚜레쥬르,용산구,한강로3가
20170907,1,0,그랜드머큐어 알라메종,용산구,한강로3가
20030509,1,0,파리바게뜨,용산구,한남동
20170427,1,0,크릉추어몽,용산구,한강로2가
20100906,1,0,파리바게뜨 구산연서점,은평구,구산동
19990722,1,0,파리바게뜨구산역점,은평구,대조동
20031111,1,0,파리바게뜨,은평구,신사동
20150522,1,0,외계인방앗간원효로,용산구,문배동
20171027,1,0,뚜레쥬르이태원점,용산구,이태원동
20090413,1,0,파리바게뜨 새절역점,은평구,신사동
20090522,1,0,라임과자점,은평구,불광동
20080616,1,0,코코호도(길음점),성북구,길음동
20081203,1,0,파리바게트,은평구,진관동
20000320,1,0,파리바게트,용산구,보광동
20170508,1,0,코티지로프,용산구,도원동
20170530,1,0,파티시에고재석,용산구,원효로2가
20170626,1,0,언니의식빵가게용산점,용산구,원효로1가
20170717,1,0,삼송빵집용산아이파크몰점,용산구,한강로3가
20170804,1,0,롤링핀순천향서울병원점,용산구,한남동
20160422,1,0,고대빵,성북구,안암동5가
20160504,1,0,신라명과 길음뉴타운점,성북구,길음동
20160512,1,0,밀곳간,성북구,성북동
20160920,1,0,빵장수 단팥빵 성북구점,성북구,종암동
19911114,1,0,와플하우스,용산구,청파동2가
20030522,1,0,샹제르망,은평구,역촌동
20030503,1,0,뚜레쥬르월곡두산점,성북구,하월곡동
20020522,1,0,파리바게뜨 서부병원점,은평구,응암동
20080222,1,0,파리바게뜨 연신내,은평구,갈현동
20080519,1,0,파리바게트(불광로데오),은평구,대조동
20091019,1,0,(주)신세계푸드 이베이커리 수색점,은평구,수색동
20000510,1,0,피자마루,용산구,효창동
19870303,1,0,파리바게뜨보문역점,성북구,보문동2가
19981019,1,0,파리바게트 성신여대점,성북구,동선동1가
20100624,1,0,빵이 가득한 집,용산구,후암동
20170828,1,0,서대문 엄마손 꽈배기,서대문구,홍제동
20111208,1,0,이지베이커리,성북구,정릉동
20101001,1,0,빵이 가득한 집,용산구,용문동
20080818,1,0,뚜레쥬르 은평뉴타운점,은평구,진관동
20140924,1,0,아리랑,용산구,동자동
20151231,1,0,던킨도너츠공항철도서울역사점,용산구,동자동
20160122,1,0,빈스앤베리즈 서울역1호점,용산구,동자동
20160122,1,0,빈스앤베리즈 서울역2호점,용산구,동자동
20071203,1,0,코코호도동부이촌점,용산구,이촌동
20080115,1,0,SPC 삼립 빚은 서울역점,용산구,동자동
20080219,1,0,베이커리오월의종,용산구,한남동
20091113,1,0,파리바게트연신내역점,은평구,불광동
20091120,1,0,빵쭈루,은평구,불광동
20091130,1,0,뚜레쥬르 갈현시장점,은평구,갈현동
20151202,1,0,비알코리아(주)던킨도너츠 한성대역사점,성북구,삼선동1가
20160122,1,0,모드에,성북구,동선동5가
20180201,1,0,본부쉬(bonne bouche),성북구,삼선동1가
20141107,1,0,파리바게뜨 이태원경리단점,용산구,이태원동
20080908,1,0,파리바게뜨 디지털미디어시티역점,은평구,증산동
20090812,1,0,파리바게뜨 동부이촌점,용산구,이촌동
20170906,1,0,POULSBO(폴스보),성북구,삼선동2가
20171024,1,0,빵사부 식빵공방 동덕여대점,성북구,하월곡동
20061110,1,0,파리바게뜨(만리점),용산구,서계동
20141126,1,0,베이커리몽소,용산구,청파동2가
20050819,1,0,블랑제리,서대문구,홍은동
20111230,1,0,파리바게뜨 연대이화점,서대문구,대신동
20090403,1,0,파리바게뜨,양천구,목동
20090416,1,0,(주)신세계푸드베이커리목동점,양천구,목동
20170613,1,0,(주)신세계푸드이베이커리영등포점,영등포구,영등포동4가
20170621,1,0,식빵이야기신풍래미안점,영등포구,신길동
20170623,1,0,르뽀미에여의도KBS점,영등포구,여의도동
20170628,1,0,웻즐스프레즐,영등포구,여의도동
20170703,1,0,파이나무,영등포구,신길동
20180305,1,0,미뇽,양천구,목동
20180308,1,0,베즐리베이커리,양천구,목동
20101230,1,0,파리바게트 서대문행복점,서대문구,충정로2가
20090324,1,0,파리바게트,양천구,목동
20160829,1,0,외계인 방앗간 은평뉴타운점,은평구,진관동
20160902,1,0,나눌베이커리,은평구,응암동
20130611,1,0,파리바게뜨 카페이대역점,서대문구,대현동
20180523,1,0,낭만달(Nangmandal),서대문구,홍은동
20170306,1,0,뚜레쥬르 응암오거리,은평구,응암동
20090630,1,0,파리바게뜨 가재울뉴타운점,서대문구,남가좌동
20170313,1,0,웬디 베이커리,은평구,진관동
20160928,1,0,baker kim's(베이커 킴스),은평구,갈현동
19921219,1,0,파리바게뜨(은평구청점),은평구,응암동
19950220,1,0,훼밀리,은평구,갈현동
20120313,1,0,PATICIEL(빠띠씨엘),은평구,진관동
20160707,1,0,라향,송파구,오금동
20160712,1,0,던킨도너츠 위례아이파크점,송파구,장지동
19950706,1,0,뚜레쥬르,은평구,역촌동
20121010,1,0,케이아이파크 브레드스톡,은평구,갈현동
20120618,1,0,빵굽는아빠,서대문구,북가좌동
20130610,1,0,와플대학,양천구,신정동
20170113,1,0,파니피카,영등포구,양평동5가
20090601,1,0,뚜레쥬르,서대문구,홍제동
20011206,1,0,홈플러스몽블랑제영등포점,영등포구,문래동3가
20020228,1,0,파리바게뜨,영등포구,당산동3가
20020314,1,0,케익하우스잼르,영등포구,영등포동5가
20091228,1,0,뚜레쥬르목4동점,양천구,목동
20141022,1,0,티나의 식빵,은평구,갈현동
20070712,1,0,베떼엠,서대문구,창천동
20060126,1,0,시냇가에 심은 나무,서대문구,홍은동
20180214,1,0,뚜레쥬르 가재울점,서대문구,남가좌동
20160715,1,0,목동망개떡(오목교점),양천구,목동
20141118,1,0,Bread Shop Amsterdam(브레드샵 암스테르담),은평구,녹번동
20080905,1,0,파리바게뜨명지대점,서대문구,남가좌동
20060905,1,0,파리바게뜨 카페신촌점,서대문구,창천동
20020531,1,0,파리바게트,서대문구,창천동
20121008,1,0,파리바게뜨 가재울래미안점,서대문구,북가좌동
20161213,1,0,카페 1981 은평2지점,은평구,진관동
20170424,1,0,오브레드(O bread),서대문구,북아현동
20170502,1,0,행운식품 롯데마트 은평점,은평구,진관동
20061207,1,0,바로굽는빵집,서대문구,영천동
20070205,1,0,뚜레쥬르 증산역점,서대문구,북가좌동
20110603,1,0,빚은연희점,서대문구,연희동
20110622,1,0,파리바게뜨 연희대우점,서대문구,연희동
20180402,1,0,스프링클베이글,양천구,목동
20180404,1,0,수라,양천구,신정동
20180411,1,0,또바기빵,양천구,목동
20170504,1,0,아모르버터,양천구,신정동
20170605,1,0,슈크레동목동,양천구,신정동
20130621,1,0,푸드엠파이어 업타운 베이커리,서대문구,신촌동
20011005,1,0,파리바게뜨충암점,서대문구,홍은동
20161227,1,0,브레댄코 새절역점,은평구,신사동
20170104,1,0,슈앤카롱,은평구,대조동
20170602,1,0,별셋공예,은평구,역촌동
20170704,1,0,아미드뺑,은평구,역촌동
19781201,1,0,파리바게뜨,양천구,신월동
20150203,1,0,빵이야기,은평구,대조동
20150224,1,0,랑스제과점,은평구,불광동
19951207,1,0,브리아몽 베이커리,은평구,신사동
19961128,1,0,아비앙또베이커리,은평구,불광동
20110831,1,0,GS25 역촌평화점,은평구,역촌동
20110908,1,0,베이커리 프랑세즈,은평구,역촌동
19810502,1,0,마실중(ing),서대문구,홍은동
20110920,1,0,파리바게트 증산역점,은평구,증산동
19680730,1,0,파리바게트(녹번점),은평구,녹번동
20150430,1,0,파리바게트 갈현로데오점,은평구,갈현동
20120830,1,0,독일빵집,서대문구,연희동
20000302,1,0,아띠베이커리,양천구,신정동
20160722,1,0,쿠키파티 델키스,송파구,잠실동
20160729,1,0,르봉 마리아쥬,송파구,신천동
20160804,1,0,바른빵집 롯데백화점 잠실 캐슬프라자점,송파구,신천동
20101221,1,0,파리바게트,서대문구,합동
19790319,1,0,케익나라오즈,은평구,역촌동
19801008,1,0,파리바게뜨,은평구,신사동
19810311,1,0,뚜레쥬르 (은평구청점),은평구,녹번동
19810605,1,0,파리바게트역촌2호점,은평구,역촌동
19810921,1,0,알프스과자점,은평구,진관동
19820908,1,0,크라운제과,은평구,신사동
20160824,1,0,엘모리아케이크,송파구,문정동
20160902,1,0,늘솜베이커리,송파구,장지동
20020408,1,0,파리바게뜨당산행복점,영등포구,당산동4가
20030818,1,0,파리바게뜨,양천구,신정동
20130827,1,0,도로시과자점,양천구,신월동
20070619,1,0,파리바게뜨정릉풍림점,성북구,정릉동
20090730,1,0,파리바게뜨(정릉대림점),성북구,정릉동
20040816,1,0,(주)현대그린푸드베즐리 신촌점,서대문구,창천동
20110920,1,0,빵이야기(bread story),서대문구,홍제동
20041007,1,0,코코호도목동점,양천구,신정동
20100317,1,0,빵이가득한집,양천구,목동
20080324,1,0,크리스피 파이 목동점,양천구,신정동
20130621,1,0,업타운 카페,서대문구,신촌동
20090803,1,0,파리바게뜨 동소문점,성북구,동소문동6가
20121116,1,0,알레스구떼,서대문구,연희동
19920410,1,0,늘프랑과자점,양천구,신월동
20160907,1,0,블루밀,양천구,목동
20160919,1,0,산토리니의아침목동점,양천구,목동
20161005,1,0,오!해피데이,양천구,신월동
20140523,1,0,파리바게뜨(양천구청점),양천구,신정동
20170626,1,0,굿베이커리,서대문구,홍제동
20170711,1,0,굿베이커리,서대문구,북아현동
20140527,1,0,파랑베이커리,서대문구,남가좌동
20170105,1,0,한나식빵 응암점,은평구,응암동
20170220,1,0,밀파네(응암점),은평구,응암동
19731017,1,0,주재근베이커리 홍제,서대문구,홍제동
19790627,1,0,이화당,서대문구,대신동
20091119,1,0,파리바게뜨(길음동부점),성북구,길음동
20150608,1,0,폴스카페,은평구,증산동
20160219,1,0,꽃담은라이스케이크,은평구,대조동
20021001,1,0,파리바게트,양천구,신월동
20170228,1,0,식빵전문점 오늘,은평구,신사동
20170228,1,0,레브,은평구,진관동
20170303,1,0,네네루카,은평구,대조동
20080619,1,0,파리바게트홍은점,서대문구,홍은동
20130610,1,0,뺑라팡,서대문구,북가좌동
19801209,1,0,피터팬,서대문구,연희동
20090605,1,0,파리바게뜨홍제인왕점,서대문구,홍제동
20100705,1,0,나폴레옹,양천구,목동
20111006,1,0,뚜레쥬르 홍제역점,서대문구,홍제동
20100730,1,0,그래인스,서대문구,창천동
20100119,1,0,파리바게트,영등포구,도림동
20100129,1,0,파리바게뜨 당산롯데점,영등포구,영등포동8가
20100309,1,0,파리바게뜨(대림현대점),영등포구,대림동
20161111,1,0,카터알맘,송파구,잠실동
20161116,1,0,뚜레쥬르,송파구,문정동
20161125,1,0,서커스래빗,송파구,신천동
20050111,1,0,파리바게뜨 사러가,영등포구,신길동
20050128,1,0,(주)SPC삼립베이커리팩토리빅마켓영등포점,영등포구,영등포동8가
20090521,1,0,베이커리(BAKERY)신정2점,양천구,신정동
20031114,1,0,한스케잌,양천구,목동
20050525,1,0,파리바게뜨 신월5동점,양천구,신월동
20160525,1,0,퍼스트브레드,서대문구,북가좌동
20040816,1,0,파리바게트,양천구,목동
20040820,1,0,파리바게뜨,양천구,목동
19990819,1,0,(주)신세계푸드 이베이커리 신월점,양천구,신월동
19990929,1,0,파리바게뜨(신정네거리역점),양천구,신정동
